id;sid;company_name;bic_code;legal_domicile_id;npwp;npwp_reg_date;skd;skd_exp_date;company_establish_place;company_establish_date;business_type;company_chracteristic;fund_source;fund_source_text;article_association;bussiness_reg_no;financial_asset_1;financial_asset_2;financial_asset_3;operating_profit_1;operating_profit_2;operating_profit_3;description;investment_objective;direct_sid;asset_owner;sup_doc_type;sup_doc_exp_date;tax_id;image_cert_article_association;image_mgmt_structure;image_siup;image_cert_domicile;image_cert_incorporation;image_npwp;image_audited_financial;image_share_holder;company_characteristic_text;investment_objective_text;bussiness_reg_exp_date;business_type_text;invest_experience;invest_experience_text;business_fields;business_fields_text;company_domicile_status;company_domicile_since;company_web_address;company_establish_certificate;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;hack;Summit Saint Martin Kids;Plastic Automotive P;61665;online;2019-12-03;Rubber;2019-12-04;Ethiopian ;2019-12-04;A;p;maximized;e-tailers Architect Chair;Handcrafted Cotton Shirt Walks;port payment;75705;86012;95264;77985;90781;3961;Shoals Rustic Configurable;Delaware Health Borders;Rupiah;b;B;2019-12-04;88253;Small bypassing;monetize Frozen;magenta Turkish Lira;green Chicken Tasty;Metal Lead;Communications Generic Granite Gloves;Accountability Assurance Auto Loan Account;seamless indexing Handcrafted;Malta Auto Loan Account online;deposit Central African Republic;2019-12-03;Handmade Generic Concrete Tuna;T;pink Architect;override PNG;deposit Avon;C;2019-12-04;Virgin Islands, British Borders Intelligent;Algerian Dinar Practical Steel Mouse;2019-12-04;2019-12-03T14:02:09;46262;2019-12-04;2019-12-03T13:22:06;96078
2;mindshare navig;drive Analyst Awesome Fresh Hat;Michigan Clothing;39551;Auto Loan Account Personal Loan Account;2019-12-03;withdrawal Planner;2019-12-04;sticky ben;2019-12-03;C;T;Bedfordshire applications Slee;AI;Home Loan Account Louisiana;Checking Account Tuna;39108;31214;96941;39904;25813;85798;Garden Rhode Island;Cotton Manager;Enterprise-wide;G;U;2019-12-03;24871;Personal Loan Account port;strategic;Kids array;Kuwait optical;online Utah COM;Botswana;zero defect;Granite;Program;deposit;2019-12-04;Sausages Incredible;B;Congolese Franc;Architect Developer;Automotive;i;2019-12-03;Fork Borders;open-source Burundi;2019-12-04;2019-12-04T09:29:14;13271;2019-12-04;2019-12-04T06:45:42;70468
3;lime Chilean Pe;feed;communities;86814;Ball Qatari Rial parsing;2019-12-03;Lek Bedfordshire;2019-12-03;SCSI Rhode;2019-12-03;E;n;Incredible deposit;Checking Account utilisation AI;USB primary Iowa;Refined withdrawal copy;92567;66759;43817;80784;90137;76228;virtual metrics navigating;intranet;Garden migratio;I;d;2019-12-04;54568;eyeballs Movies;Savings Account Pakistan Rupee;connect Berkshire;XSS Suriname;Lead cross-platform;enable;Moldova Operative;Investment Account generate;synthesize capacitor Andorra;violet Outdoors deposit;2019-12-03;Profound Markets Intelligent Frozen Shoes;y;Open-source multi-tasking;Data;Moldova archive;m;2019-12-03;bypassing Christmas Island;Dong;2019-12-04;2019-12-03T15:00:43;52516;2019-12-04;2019-12-03T17:11:23;29527
4;multi-byte;Universal;supply-chains Licens;37350;New Caledonia;2019-12-04;Kids invoice Cambridgeshire;2019-12-03;digital;2019-12-03;S;L;definition transmitter navigat;Trinidad and Tobago Dollar Licensed Savings Account;interfaces Mouse;bus;86279;47289;21673;53535;9571;17844;model;Savings Account;deposit Integra;C;b;2019-12-03;42819;monitor Lek;innovative bypassing Credit Card Account;Virginia reciprocal;asymmetric;Investor maroon;one-to-one;extensible Practical Granite Bacon;Turkish Lira;Profit-focused;system-worthy Credit Card Account;2019-12-03;Function-based Highway;A;reintermediate efficient Producer;Hill Awesome Rubber Computer;Directives payment override;I;2019-12-04;Stravenue back up;moratorium Consultant;2019-12-03;2019-12-03T11:57:16;38252;2019-12-04;2019-12-04T07:19:50;39931
5;Chair Producer ;Switchable Kyat;Money Market Account;8912;program Rubber connecting;2019-12-03;protocol;2019-12-04;contingenc;2019-12-04;d;O;Village;XML Sausages;Borders Planner navigating;Cambridgeshire;39717;11636;53973;81744;62795;38062;EXE SMS back-end;orange bypassing Graphic Interface;Keyboard;F;g;2019-12-03;60637;Rubber Legacy;Gloves Cambridgeshire revolutionize;withdrawal;Sleek Steel Hat;Versatile;San Marino;Cotton Money Market Account Optimization;solutions Refined deposit;Kids;withdrawal Shirt;2019-12-04;digital Ferry;C;Generic Metal Gloves Administrator Devolved;Rustic;data-warehouse Intelligent Saudi Riyal;H;2019-12-03;Sharable Polarised orange;Credit Card Account;2019-12-03;2019-12-03T13:51:16;42608;2019-12-03;2019-12-04T07:04:10;79209
6;deploy deposit ;supply-chains hacking;drive Supervisor Inv;13380;synergies open-source;2019-12-03;Belize Dollar sky blue Savings;2019-12-04;overriding;2019-12-03;i;N;Cambridgeshire asynchronous;Avon;FTP;alarm;47601;81068;37588;61408;39447;85956;extend Interactions;Security;withdrawal Qual;E;P;2019-12-03;63720;withdrawal District;Polarised Senior;Cambridgeshire Computer;Analyst bandwidth Small Steel Computer;alarm Licensed Steel Computer Books;Buckinghamshire facilitate Green;holistic reboot invoice;e-business;Awesome invoice;Gorgeous Cotton Chair Ergonomic Cambridgeshire;2019-12-03;1080p;P;Djibouti Franc Music;Money Market Account;Generic Frozen Hat Camp Principal;b;2019-12-04;Executive Investment Account;Legacy Slovenia;2019-12-03;2019-12-03T18:27:04;15663;2019-12-04;2019-12-04T09:09:25;33826
7;Communications;Fantastic;architectures niches;61293;Response;2019-12-04;Metal tan TCP;2019-12-03;multi-task;2019-12-03;G;i;Wall;input Rhode Island Tuna;Gloves;parse user-facing;53955;4317;72794;16481;10794;13172;bandwidth parsing tan;Pizza bricks-and-clicks;Saint Lucia Pen;M;B;2019-12-03;57717;PNG initiatives;Overpass;open-source;circuit Engineer Intelligent;SAS deposit;Saint Barthelemy;generating Savings Account Indian Rupee;haptic Macedonia;synthesizing;Sports back up ivory;2019-12-03;cross-platform pricing structure Pizza;T;Liaison 24/365;payment optical;Savings Account;w;2019-12-04;Kids;e-business;2019-12-03;2019-12-04T00:54:09;9299;2019-12-04;2019-12-03T20:05:23;87426
8;Borders protoco;Idaho;Kwacha Generic Grani;59936;Money Market Account Sports initiative;2019-12-03;Car;2019-12-03;transmit D;2019-12-04;c;p;Cloned architect;Auto Loan Account;parse capacitor model;systems;63617;49616;78565;17825;11833;68591;Assistant navigate;West Virginia Hawaii Towels;Director Chair;T;P;2019-12-04;25929;eyeballs PCI indexing;Squares;View Buckinghamshire;deposit;circuit;District 1080p;bypass;Polarised;Cotton;Dynamic Ville Movies;2019-12-04;Gorgeous Steel Ball;E;open-source Engineer unleash;Summit compress;Shoes;M;2019-12-03;deliverables;Unbranded Ameliorated;2019-12-03;2019-12-03T18:16:33;54832;2019-12-03;2019-12-04T07:08:05;56016
9;Markets Refined;Cambridgeshire Engineer Metal;mint green Kentucky ;97200;Personal Loan Account e-business Steel;2019-12-04;Inverse Cloned quantifying;2019-12-03;Wallis and;2019-12-03;h;C;Berkshire Keyboard Branding;olive Practical AI;payment Finland;haptic;11193;80640;35597;45923;97806;5195;online pink Synergized;Gibraltar;input Andorra y;i;P;2019-12-04;55251;Practical;Product Hong Kong;primary reintermediate;navigating evolve;web services teal sky blue;executive;quantify motivating project;reinvent Human;Cape Verde Ridge;back-end methodology;2019-12-03;Human client-driven;A;Legacy invoice;help-desk;Personal Loan Account Refined RAM;f;2019-12-03;Metal alarm challenge;JBOD systems Keyboard;2019-12-04;2019-12-03T17:43:19;55975;2019-12-04;2019-12-03T21:32:57;2936
10;programming blu;pink SQL programming;Handmade copy;98806;Internal withdrawal;2019-12-04;Networked transmitting;2019-12-03;Chile Real;2019-12-04;E;o;e-commerce Louisiana;synthesizing Streets Engineer;Music feed;extranet;68632;381;6964;68166;17488;16713;deposit Assistant Gorgeous Steel Tuna;Vatu Bedfordshire;sticky;S;s;2019-12-03;93830;SSL transmit primary;Future invoice;UAE Dirham Florida Fantastic;brand Synergistic;Brunei Darussalam synergize;primary Landing Books;driver Principal;Fresh;zero administration Internal synthesize;backing up Strategist Credit Card Account;2019-12-03;Auto Loan Account;m;magenta;Bahrain;content-based;T;2019-12-03;secured line;Incredible Focused;2019-12-03;2019-12-03T16:22:12;59880;2019-12-04;2019-12-04T08:39:31;90289
